Date,Region/City-Eng,Region_ID,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
3/21/2020,Republic of Tatarstan,16,5,0,0,6,0,0
3/21/2020,Nizhny Novgorod Region,52,4,0,0,7,0,1
3/21/2020,Sverdlovsk region,66,3,0,0,9,0,0
3/21/2020,Tula region,71,2,0,0,5,0,0
3/21/2020,Kaliningrad region,39,2,0,0,7,0,1
3/21/2020,St. Petersburg,78,2,0,0,16,0,2
3/21/2020,Kabardino-Balkar Republic,7,2,0,0,2,0,0
3/21/2020,Krasnodar region,23,2,0,0,5,0,0
3/21/2020,Ryazan Oblast,62,1,0,0,2,0,0
3/21/2020,Stavropol region,26,1,0,0,1,0,0
3/21/2020,Kurgan region,45,1,0,0,1,0,0
3/21/2020,Chelyabinsk region,74,1,0,0,1,0,0
3/21/2020,Khanty-Mansiysk,86,1,0,0,2,0,0
3/21/2020,Krasnoyarsk region,24,1,0,0,5,0,0
3/21/2020,Khabarovsk region,27,1,0,0,4,0,0
3/21/2020,Republic of Crimea,82,1,0,0,1,0,0
3/22/2020,Moscow,77,54,0,0,191,0,8
3/22/2020,Novgorod region,53,1,0,0,1,0,0
3/22/2020,Kirov region,43,2,0,0,7,0,0
3/22/2020,Arkhangelsk region,29,1,0,0,2,0,0
3/22/2020,Bryansk region,32,1,0,0,1,0,0
3/22/2020,Udmurt republic,18,2,0,0,2,0,0
3/23/2020,Moscow,77,71,0,1,262,0,9
3/23/2020,Moscow region,50,0,0,1,35,0,2
3/24/2020,Moscow,77,28,0,0,290,0,9
3/24/2020,St. Petersburg,78,5,0,0,21,0,2
3/24/2020,Voronezh region,36,4,0,0,6,0,0
3/24/2020,Sverdlovsk region,66,4,0,0,13,0,0
3/24/2020,Republic of Bashkortostan,2,3,0,0,3,0,0
3/24/2020,Lipetsk region,48,2,0,0,5,0,3
3/24/2020,Oryol Region,57,2,0,0,2,0,0
3/24/2020,Leningrad region,47,2,0,0,3,0,0
3/24/2020,Primorsky Krai,25,2,0,0,2,0,0
3/24/2020,Kaluga region,40,1,0,0,2,0,0
3/24/2020,Chechen Republic,95,1,0,0,1,0,0
3/24/2020,Volgograd region,34,1,0,0,1,0,0
3/24/2020,Republic of Tatarstan,16,1,0,0,7,0,0
3/24/2020,Samara Region,63,1,0,0,10,0,0
3/24/2020,Moscow region,50,0,0,1,35,0,3
3/24/2020,Kemerovo region,42,0,0,1,2,0,1
3/24/2020,Krasnoyarsk region,24,0,0,3,5,0,3
3/25/2020,Moscow,77,120,0,5,410,0,14
3/25/2020,Moscow region,50,6,0,0,41,0,3
3/25/2020,Republic of Crimea,82,6,0,0,7,0,0
3/25/2020,Pskov region,60,4,0,0,4,0,0
3/25/2020,Krasnodar region,23,4,0,0,9,0,0
3/25/2020,Orenburg region,56,3,0,0,4,0,0
3/25/2020,The Republic of Sakha (Yakutia),14,3,0,0,10,0,0
3/25/2020,Tula region,71,2,0,0,7,0,0
3/25/2020,Komi Republic,11,2,0,0,3,0,0
3/25/2020,Kabardino-Balkar Republic,7,2,0,0,4,0,0
3/25/2020,Perm,59,2,0,0,5,0,0
3/25/2020,Bryansk region,32,1,0,0,2,0,0
3/25/2020,Arkhangelsk region,29,1,0,0,3,0,0
3/25/2020,Kaliningrad region,39,1,0,1,8,0,2
3/25/2020,Stavropol region,26,1,0,0,2,0,0
3/25/2020,Rostov region,61,1,0,0,1,0,0
3/25/2020,Republic of Bashkortostan,2,1,0,0,4,0,0
3/25/2020,Nizhny Novgorod Region,52,1,0,0,8,0,1
3/25/2020,Penza region,58,1,0,0,2,0,0
3/25/2020,Chelyabinsk region,74,1,0,0,2,0,0
3/26/2020,Moscow,77,136,2,1,546,2,15
3/26/2020,Sverdlovsk region,66,7,0,0,20,0,0
3/26/2020,St. Petersburg,78,5,0,0,26,0,2
3/26/2020,Perm,59,5,0,0,10,0,0
3/26/2020,The Republic of Sakha (Yakutia),14,4,0,0,14,0,0
3/26/2020,Stavropol region,26,3,0,0,5,0,0
3/26/2020,Republic of Tatarstan,16,3,0,0,10,0,0
3/26/2020,Chelyabinsk region,74,3,0,0,5,0,0
3/26/2020,Krasnoyarsk region,24,3,0,0,8,0,3
3/26/2020,Pskov region,60,2,0,0,6,0,0
3/26/2020,Samara Region,63,2,0,0,12,0,0
3/26/2020,Khanty-Mansiysk,86,2,0,0,4,0,0
3/26/2020,The Republic of Buryatia,3,2,0,0,2,0,0
3/26/2020,The Republic of Khakassia,19,1,0,0,2,0,0
3/26/2020,Kemerovo region,42,1,0,0,3,0,1
3/26/2020,Novosibirsk region,54,1,0,0,5,0,0
3/26/2020,Tomsk region,70,1,0,0,2,0,0
3/26/2020,Khabarovsk region,27,1,0,0,5,0,0
3/26/2020,Moscow region,50,0,0,5,41,0,8
3/27/2020,Volgograd region,34,3,0,0,4,0,0
3/27/2020,Ivanovo region,37,1,0,0,2,0,0
3/27/2020,Kirov region,43,1,0,0,8,0,0
3/27/2020,Moscow,77,157,1,3,703,3,18
3/27/2020,Moscow region,50,8,0,1,49,0,9
3/27/2020,Oryol Region,57,1,0,0,3,0,0
3/27/2020,The Republic of Dagestan,5,1,0,0,1,0,0
3/27/2020,Republic of Crimea,82,7,0,0,14,0,0
3/27/2020,The Republic of Mordovia,13,2,0,0,2,0,0
3/27/2020,Republic of Tatarstan,16,1,0,1,11,0,1
3/27/2020,Rostov region,61,1,0,0,2,0,0
3/27/2020,Samara Region,63,2,0,0,14,0,0
3/27/2020,St. Petersburg,78,0,0,3,26,0,5
3/27/2020,Sevastopol,92,5,0,0,5,0,0
3/27/2020,Tula region,71,1,0,0,8,0,0
3/27/2020,Udmurt republic,18,2,0,0,4,0,0
3/27/2020,Chechen Republic,95,2,0,0,3,0,0
